"date","close","volume","open","high","low"

"2018/09/14","267.3600","1860993.0000","267.4700","267.6246","266.4700"
"2018/09/13","267.2200","2087850.0000","266.7800","267.4180","266.4700"
"2018/09/12","265.7100","3019320.0000","265.6100","266.2600","264.8300"
"2018/09/11","265.6800","3419128.0000","264.0300","266.0499","263.6800"
"2018/09/10","264.6800","2832599.0000","265.2800","265.5700","264.5100"
"2018/09/07","264.1800","2634293.0000","263.6300","265.2600","263.4500"
"2018/09/06","264.8200","1686991.0000","265.6900","265.9900","263.7000"
"2018/09/05","265.6000","4594806.0000","265.9100","266.1300","264.5200"
"2018/09/04","266.3500","3623280.0000","266.3500","266.6600","265.2600"
"2018/08/31","266.7200","3172334.0000","266.3300","267.2163","265.8300"
"2018/08/30","266.7100","2625380.0000","267.3100","267.7100","266.1200"
"2018/08/29","267.8000","2115971.0000","266.5900","268.0500","266.3400"
"2018/08/28","266.3400","3027095.0000","266.7600","266.8300","265.8900"
"2018/08/27","266.1900","2370864.0000","265.3800","266.3500","265.2600"
"2018/08/24","264.2000","2329244.0000","263.1600","264.2900","263.1100"
"2018/08/23","262.5500","2307738.0000","262.6800","263.6300","262.2100"
"2018/08/22","262.9300","1708048.0000","262.6400","263.4500","262.3900"
"2018/08/21","263.0100","1928441.0000","263.0100","263.9732","262.8600"
"2018/08/20","262.4400","1245408.0000","262.4000","262.7400","261.9000"
"2018/08/17","261.8600","2278711.0000","260.7100","262.3800","260.3500"
"2018/08/16","260.9900","1692554.0000","260.3600","261.8890","260.3500"
"2018/08/15","258.8900","2587660.0000","259.4300","259.5500","257.3900"
"2018/08/14","260.8100","1530894.0000","259.9400","261.0700","259.5500"
"2018/08/13","259.1400","3685133.0000","260.4100","261.0700","258.9000"
"2018/08/10","260.1200","2394765.0000","260.3600","260.9640","259.4300"
"2018/08/09","261.9000","1084117.0000","262.3300","262.7400","261.7600"
"2018/08/08","262.2300","1560763.0000","262.2300","262.6700","261.7900"
"2018/08/07","262.3700","2619136.0000","262.2000","262.7800","262.0800"
